School_Name,Location_Code,District,Latitude,Longitude,City,Zip,Grade_Low,Grade_High,Economic_Need_Index,School_Income_Estimate,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent Black / Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_%,Rigorous_Instruction_Rating,Collaborative Teachers %,Collaborative_Teachers_Rating,Supportive Environment %,Supportive_Environment_Rating,Effective School Leadership %,Effective_School_Leadership_Rating,Strong Family-Community Ties %,Strong_Family-Community_Ties_Rating,Trust %,Trust_Rating,Student_Achievement_Rating,Average_ELA_Proficiency,Average_Math_Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
THOMAS C. GIORDANO MIDDLE SCHOOL 45,10X045,10,40.85843,-73.88704,BRONX,10458,6,8,0.886,NA,0.17,0.01,0.16,0.78,0.94,0.04,0.91,0.32,0.87,Meeting Target,0.86,Approaching Target,0.82,Approaching Target,0.75,Approaching Target,0.73,Approaching Target,0.88,Meeting Target,Approaching Target,2.27,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,4,0,0,3,0,0,0,0,3,246,3,0,0,1,0,0,0,0,2,211,5,0,1,4,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,238,7,0,1,6,0,0,0,0,6,186,0,0,0,0,0,0,0,0,0
P.S. 046 EDGAR ALLAN POE,10X046,10,40.85843,-73.88704,BRONX,10458,0K,5,0.906,26555.51,0.4,0.03,0.15,0.8,0.95,0.02,0.92,0.29,0.9,Meeting Target,0.87,Meeting Target,0.89,Meeting Target,0.76,Approaching Target,0.81,Approaching Target,0.92,Meeting Target,Meeting Target,2.08,2.24,186,6,0,2,3,0,0,0,0,4,197,16,0,4,10,0,0,0,1,12,190,9,0,1,8,0,0,0,0,8,194,14,0,3,10,0,0,0,0,11,148,1,0,0,1,0,0,0,0,1,154,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 051 BRONX NEW SCHOOL,10X051,10,40.85063,-73.88653,BRONX,10457,0K,5,0.714,32539.98,0.04,0.03,0.37,0.59,0.96,0.02,0.94,0.21,0.99,Exceeding Target,0.9,Meeting Target,0.98,Meeting Target,0.84,Meeting Target,0.83,Meeting Target,0.96,Exceeding Target,Approaching Target,2.49,2.54,28,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,31,3,0,0,3,0,0,0,0,0,31,7,0,0,5,0,0,0,0,0,28,2,0,0,0,0,0,0,0,1,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S./I.S. 54,10X054,10,40.86494,-73.88779,BRONX,10458,PK,5,0.896,24568.96,0.26,0.02,0.27,0.7,0.97,0.01,0.92,0.25,0.91,Meeting Target,0.87,Meeting Target,0.88,Meeting Target,0.79,Meeting Target,0.84,Meeting Target,0.9,Meeting Target,Meeting Target,2.27,2.2,70,1,0,0,0,0,0,0,0,1,74,0,0,0,0,0,0,0,0,0,66,1,0,0,1,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,79,4,0,0,3,0,0,0,0,0,79,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 056 NORWOOD HEIGHTS,10X056,10,40.87244,-73.87591,BRONX,10467,0K,5,0.821,36131.36,0.14,0.22,0.08,0.63,0.71,0.06,0.93,0.25,0.97,Exceeding Target,0.93,Exceeding Target,0.93,Meeting Target,0.88,Exceeding Target,0.82,Approaching Target,0.95,Exceeding Target,Exceeding Target,2.7,3.01,107,10,0,0,4,4,2,0,0,7,112,30,0,3,10,14,3,0,1,22,125,18,0,0,9,7,2,0,0,14,125,23,0,1,11,9,2,0,0,18,132,10,0,0,5,3,0,0,0,5,137,17,0,1,8,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,10X059,10,40.85306,-73.89342,BRONX,10457,PK,5,0.934,22046.2,0.15,0.01,0.27,0.68,0.96,0.01,0.91,0.38,0.94,Meeting Target,0.94,Meeting Target,0.92,Meeting Target,0.89,Exceeding Target,0.92,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.13,2.3,104,1,0,0,1,0,0,0,0,1,96,3,0,0,3,0,0,0,0,3,90,1,0,0,1,0,0,0,0,0,93,2,0,0,2,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,86,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.H.S. 080 THE MOSHOLU PARKWAY,10X080,10,40.87682,-73.88124,BRONX,10467,6,8,0.827,NA,0.31,0.13,0.13,0.67,0.81,0.05,0.89,0.38,0.87,Approaching Target,0.79,Approaching Target,0.81,Approaching Target,0.7,Not Meeting Target,0.74,Approaching Target,0.84,Approaching Target,Meeting Target,2.16,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,2,0,0,1,1,0,0,0,1,197,11,0,1,7,3,0,0,1,10,204,4,0,0,2,1,0,0,0,4,220,9,0,1,4,3,0,0,1,9,188,5,0,1,1,1,0,0,0,5,144,1,0,0,1,0,0,0,0,1
P.S. 081 ROBERT J. CHRISTEN,10X081,10,40.90346,-73.90468,BRONX,10471,0K,5,0.357,71366.79,0.08,0.08,0.1,0.49,0.59,0.3,0.94,0.17,0.93,Exceeding Target,0.92,Exceeding Target,0.99,Exceeding Target,0.83,Meeting Target,0.9,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.81,3.08,73,16,0,0,7,0,9,0,0,2,71,34,0,0,12,2,17,0,0,6,85,18,0,1,7,0,9,0,0,6,86,23,0,2,8,0,7,0,0,7,75,10,0,1,2,0,5,0,0,0,74,20,0,0,4,3,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 085 GREAT EXPECTATIONS,10X085,10,40.85885,-73.89483,BRONX,10458,0K,5,0.925,23548.89,0.22,0.01,0.29,0.69,0.98,0,0.91,0.35,0.84,Approaching Target,0.82,Meeting Target,0.82,Approaching Target,0.7,Approaching Target,0.81,Approaching Target,0.85,Approaching Target,Approaching Target,2.02,2.05,154,0,0,0,0,0,0,0,0,0,160,7,0,0,6,0,0,0,1,7,159,4,0,1,2,0,0,0,0,4,162,3,0,1,2,0,0,0,1,3,159,1,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 086 KINGSBRIDGE HEIGHTS,10X086,10,40.86985,-73.89826,BRONX,10468,PK,6,0.878,33865.07,0.3,0.04,0.08,0.86,0.94,0.01,0.94,0.2,0.95,Meeting Target,0.95,Exceeding Target,0.93,Exceeding Target,0.88,Exceeding Target,0.83,Meeting Target,0.96,Exceeding Target,Exceeding Target,2.47,2.8,192,6,0,0,5,1,0,0,0,5,197,32,0,1,27,3,1,0,2,26,242,50,0,4,39,6,0,0,1,35,249,72,0,5,58,6,0,0,7,54,224,22,0,3,17,0,0,0,0,17,233,42,0,2,32,0,0,0,1,33,195,17,0,2,13,0,0,0,0,12,202,40,0,5,31,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 091 BRONX,10X091,10,40.85872,-73.90741,BRONX,10453,0K,5,0.903,29919.76,0.38,0.03,0.18,0.76,0.94,0.02,0.91,0.36,0.82,Approaching Target,0.76,Approaching Target,0.8,Approaching Target,0.66,Not Meeting Target,0.78,Approaching Target,0.75,Not Meeting Target,Exceeding Target,2.33,2.52,113,2,0,0,0,0,0,0,0,2,117,12,0,2,7,0,0,0,0,10,116,12,0,0,8,0,0,0,0,11,121,13,0,0,8,0,0,0,1,12,90,2,0,0,1,0,0,0,0,1,93,4,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 094 KINGS COLLEGE SCHOOL,10X094,10,40.88051,-73.87527,BRONX,10467,0K,5,0.862,33404.63,0.26,0.11,0.16,0.68,0.84,0.03,0.91,0.34,0.86,Approaching Target,0.86,Approaching Target,0.88,Approaching Target,0.74,Approaching Target,0.82,Approaching Target,0.93,Meeting Target,Approaching Target,2.17,2.22,171,2,0,0,2,0,0,0,0,2,182,2,0,1,0,1,0,0,0,2,191,8,0,1,4,0,0,0,0,7,197,11,0,1,4,0,0,0,1,10,172,2,0,1,1,0,0,0,0,2,178,3,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 095 SHEILA MENCHER,10X095,10,40.88302,-73.89167,BRONX,10463,PK,8,0.786,42357.53,0.19,0.07,0.17,0.7,0.87,0.04,0.92,0.29,0.85,NA,0.71,NA,0.84,Meeting Target,0.63,NA,0.87,Meeting Target,0.82,Approaching Target,Meeting Target,2.41,2.41,142,5,0,2,1,2,0,0,0,2,143,5,0,1,3,1,0,0,1,4,119,6,0,1,2,3,0,0,0,3,124,11,0,3,5,2,0,0,0,8,128,1,0,0,0,0,0,0,0,1,130,6,0,1,4,0,0,0,0,4,132,6,0,2,3,1,0,0,0,5,136,8,0,2,5,1,0,0,0,6,136,9,0,0,6,0,0,0,0,7,134,5,0,2,2,0,0,0,0,4,135,10,0,0,6,2,0,0,0,5,85,0,0,0,0,0,0,0,0,0
J.H.S. 118 WILLIAM W. NILES,10X118,10,40.84856,-73.89257,BRONX,10457,6,8,0.843,NA,0.11,0.15,0.21,0.6,0.81,0.03,0.92,0.26,0.84,Approaching Target,0.76,Approaching Target,0.83,Approaching Target,0.69,Not Meeting Target,0.69,Not Meeting Target,0.88,Meeting Target,Meeting Target,2.54,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,62,0,10,29,19,0,0,0,51,378,70,0,11,30,26,0,0,0,58,348,51,0,5,24,20,2,0,0,46,352,60,0,7,19,30,4,0,0,56,340,37,0,7,15,11,3,0,0,31,328,45,0,9,17,14,3,0,0,38
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),10X141,10,40.8877,-73.91361,BRONX,10463,6,12,0.418,NA,0.07,0.07,0.1,0.56,0.66,0.26,0.94,0.13,0.84,Meeting Target,0.81,Meeting Target,0.82,Meeting Target,0.75,Approaching Target,0.75,Approaching Target,0.86,Meeting Target,Meeting Target,2.74,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,32,0,3,11,0,14,0,0,7,212,49,0,3,16,0,24,0,1,13,228,24,0,3,8,1,12,0,0,8,227,37,0,2,15,4,16,0,0,13,192,40,0,5,10,0,16,0,0,12,148,16,0,3,5,2,6,0,0,6
P.S. 159 LUIS MUNOZ MARIN BILING,10X159,10,40.85552,-73.89328,BRONX,10457,0K,5,0.907,23307.95,0.3,0,0.08,0.9,0.98,0.01,0.93,0.26,0.99,Meeting Target,0.99,Meeting Target,0.96,Meeting Target,0.93,Exceeding Target,0.93,Exceeding Target,1,Exceeding Target,Meeting Target,2.33,2.43,23,2,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,4,23,4,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 205 FIORELLO LAGUARDIA,10X205,10,40.85574,-73.88141,BRONX,10458,0K,5,0.887,23907.92,0.2,0.01,0.15,0.79,0.94,0.05,0.93,0.26,0.88,Meeting Target,0.91,Meeting Target,0.93,Meeting Target,0.8,Meeting Target,0.83,Approaching Target,0.94,Exceeding Target,Meeting Target,2.4,2.51,174,1,0,0,1,0,0,0,0,1,176,9,0,0,9,0,0,0,0,7,171,4,0,1,3,0,0,0,0,4,179,3,0,0,2,0,1,0,1,2,153,5,0,1,2,0,2,0,0,3,157,12,0,1,8,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I.S. 206 ANN MERSEREAU,10X206,10,40.8596,-73.90627,BRONX,10468,5,8,0.909,NA,0.24,0.01,0.19,0.78,0.97,0.01,0.91,0.33,0.89,Meeting Target,0.91,Meeting Target,0.83,Approaching Target,0.83,Meeting Target,0.84,Meeting Target,0.94,Exceeding Target,Approaching Target,2.06,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,66,3,0,0,3,0,0,0,0,2,68,2,0,0,2,0,0,0,0,1,96,1,0,0,1,0,0,0,0,1,104,0,0,0,0,0,0,0,0,0
THEATRE ARTS PRODUCTION COMPANY SCHOOL,10X225,10,40.85466,-73.89704,BRONX,10457,6,12,0.806,NA,0.06,0.01,0.27,0.68,0.95,0.02,0.92,0.26,0.84,Approaching Target,0.87,Meeting Target,0.81,Meeting Target,0.8,Meeting Target,0.76,Approaching Target,0.91,Meeting Target,Meeting Target,2.38,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,1,2,0,0,0,0,3,53,5,0,2,3,0,0,0,0,4,69,3,0,0,2,0,0,0,0,2,67,0,0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,58,5,0,1,2,0,0,0,0,2
P.S. 226,10X226,10,40.85557,-73.91622,BRONX,10453,PK,4,0.903,30205.5,0.22,0.01,0.23,0.76,0.98,0,0.93,0.23,0.82,Approaching Target,0.8,Approaching Target,0.86,Meeting Target,0.7,Approaching Target,0.81,Approaching Target,0.85,Approaching Target,Meeting Target,2.22,2.34,75,2,0,0,1,0,0,0,0,0,78,6,0,0,5,0,0,0,0,4,76,1,0,0,1,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,71,6,0,3,3,0,0,0,0,0,73,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JONAS BRONCK ACADEMY,10X228,10,40.86131,-73.89128,BRONX,10458,6,8,0.821,NA,0.04,0.05,0.18,0.72,0.91,0.02,0.98,0.02,0.91,Exceeding Target,0.92,Exceeding Target,0.92,Exceeding Target,0.86,Meeting Target,0.86,Exceeding Target,0.94,Exceeding Target,Meeting Target,2.7,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,12,0,1,11,0,0,0,0,11,87,11,0,0,10,1,0,0,0,11,85,7,0,0,5,0,0,0,0,5,85,0,0,0,0,0,0,0,0,0,85,8,0,1,6,0,0,0,0,8,85,5,0,0,4,1,0,0,0,5
WEST BRONX ACADEMY FOR THE FUTURE,10X243,10,40.85952,-73.88858,BRONX,10458,6,12,0.851,NA,0.11,0.02,0.2,0.75,0.95,0.02,0.92,0.25,0.84,Approaching Target,0.85,Meeting Target,0.81,Meeting Target,0.82,Meeting Target,0.74,Approaching Target,0.89,Meeting Target,Meeting Target,2.35,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3,0,0,2,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,86,1,0,0,1,0,0,0,0,0,85,1,0,0,1,0,0,0,0,0,74,3,0,0,3,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,10X244,10,40.87545,-73.90152,BRONX,10463,6,8,0.85,NA,0.2,0.02,0.11,0.83,0.94,0.03,0.93,0.24,0.92,Meeting Target,0.88,Meeting Target,0.89,Meeting Target,0.86,Meeting Target,0.84,Meeting Target,0.92,Meeting Target,Exceeding Target,2.51,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,11,0,1,8,0,0,0,0,9,171,27,0,3,21,0,0,0,1,24,256,18,0,1,15,0,1,0,0,17,267,19,0,2,14,0,1,0,0,17,297,24,0,2,15,0,4,0,0,20,245,2,0,0,2,0,0,0,1,2
P.S. 246 POE CENTER,10X246,10,40.86597,-73.89531,BRONX,10468,0K,6,0.88,34941.39,0.27,0.02,0.1,0.85,0.95,0.02,0.92,0.3,0.81,Approaching Target,0.82,Approaching Target,0.86,Approaching Target,0.67,Approaching Target,0.84,Meeting Target,0.91,Meeting Target,Meeting Target,2.13,2.3,130,1,0,0,1,0,0,0,0,1,137,10,0,2,6,0,1,0,1,10,105,1,0,0,1,0,0,0,0,1,107,4,0,0,3,0,0,0,0,4,108,1,0,0,1,0,0,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I.S. 254,10X254,10,40.85886,-73.88984,BRONX,10458,6,8,0.885,NA,0.34,0.03,0.18,0.78,0.95,0.01,0.91,0.3,0.77,Approaching Target,0.83,Meeting Target,0.83,Meeting Target,0.74,Approaching Target,0.76,Approaching Target,0.88,Meeting Target,Exceeding Target,2.2,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,4,0,1,3,0,0,0,0,3,135,9,0,2,6,0,0,0,1,6,174,4,0,1,3,0,0,0,0,3,175,5,0,0,5,0,0,0,0,3,126,1,0,0,1,0,0,0,0,0,138,13,0,3,6,0,0,0,0,9
P.S. 279 CAPTAIN MANUEL RIVERA JR.,10X279,10,40.85475,-73.90502,BRONX,10453,0K,8,0.918,26313.1,0.29,0.03,0.17,0.79,0.96,0,0.93,0.26,0.9,Meeting Target,0.92,Meeting Target,0.88,Meeting Target,0.89,Exceeding Target,0.87,Meeting Target,0.93,Meeting Target,Meeting Target,2.26,2.33,129,4,0,1,1,0,0,0,0,4,132,6,0,1,4,0,0,0,1,6,106,0,0,0,0,0,0,0,0,0,109,8,0,0,8,0,0,0,0,0,100,1,0,0,1,0,0,0,0,0,104,1,0,0,1,0,0,0,0,0,119,5,0,0,4,0,0,0,0,5,123,15,0,4,10,0,0,0,0,13,110,3,0,0,2,0,0,0,0,2,110,4,0,0,2,0,0,0,0,3,111,7,0,0,7,0,0,0,0,6,116,6,0,0,4,0,0,0,0,6
P.S./M.S. 280 MOSHOLU PARKWAY,10X280,10,40.87718,-73.88155,BRONX,10467,0K,8,0.837,37116.54,0.12,0.11,0.09,0.74,0.83,0.05,0.93,0.22,0.95,Exceeding Target,0.92,Exceeding Target,0.96,Exceeding Target,0.84,Meeting Target,0.81,Approaching Target,0.94,Exceeding Target,Exceeding Target,2.48,2.66,98,3,0,0,1,1,1,0,0,3,101,8,0,1,4,2,1,0,0,7,96,8,0,0,7,1,0,0,0,0,97,15,0,0,12,3,0,0,0,0,126,3,0,0,1,1,1,0,0,3,126,5,0,1,2,1,1,0,0,5,97,7,0,0,3,4,0,0,0,6,98,21,0,0,14,5,0,0,0,17,96,6,0,0,4,2,0,0,0,0,95,2,0,0,0,2,0,0,0,0,85,7,0,1,4,2,0,0,0,7,79,6,0,1,2,2,1,0,0,6
